SampleID,PCo1,PCo2,PCo3,DMM_L6,Dataset,Shannon,Ethnicity_initial,Ethnicity,Group,SuperGroup,Prevotella_copri,Bacteroidaceae,Prevotellaceae,Ruminococcaceae,Lachnospiraceae,Clostridiales fam. incertae sedis,Clostridiaceae,Unclassified,Eubacteriaceae,Rikenellaceae,Firmicutes fam. incertae sedis,Oscillospiraceae,Veillonellaceae,Tannerellaceae,Bifidobacteriaceae,Bacteroidales fam. incertae sedis,Proteobacteria fam. [Acetobacteraceae/Enterobacteriaceae],Selenomonadaceae,Sutterellaceae,Firmicutes fam. [Lachnospiraceae/Lactobacillaceae],Coriobacteriaceae,Bacteria fam. incertae sedis,Acidaminococcaceae,Erysipelotrichaceae,Firmicutes fam. [Carnobacteriaceae/Acidaminococcaceae],Streptococcaceae,Akkermansiaceae,Barnesiellaceae
SAMEA2152602,0.032191334,0.041701893,0.175328963,Cluster 1,PRJEB4336,6.771321012,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.087461228,0,0.10134327,0.077313519,0.146184944,0.242091806,0.048071037,0.028587948,0.043972283,0.048837514,0.009202642,0.025688781,0.007526283,0.000140648,0.009635799,0,0,0,0.002484499,0.000246781,0.015735501,0,0.001627223,0,0.000872848,0.002169932,0
SAMEA2152664,-0.027260481,0.07762907,0.108775375,Cluster 1,PRJEB4336,5.988834228,Denmark,Denmark,Denmark,Denmark_Cluster 1,0.000282547,0.080875114,0.033190558,0.055169717,0.020318701,0.225213142,0.264360974,0.057028509,0.015029132,0.014197253,0.100504916,0.001752882,0.0002288,0.003481526,0,0.003747179,0.003401707,0,0.001890242,0.000257458,0.000141767,0.005549744,0.001894359,0.043562665,0,0,0.0000791,0.014725761
SAMEA2152768,-0.004139428,0.123899293,0.05948522,Cluster 1,PRJEB4336,5.186446809,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.046110098,0.004076137,0.031764736,0.098946359,0.034815106,0.481403715,0.080569854,0.018097881,0.002034058,0.050891222,0.000362388,0.006248667,0.001027073,0,0.005553634,0,0,0.00155688,0,0,0.02317505,0,0.001178148,0,0.000367746,0.000294872,0.006789392
SAMEA2152904,-0.037907774,0.065507439,0.203015769,Cluster 1,PRJEB4336,6.228545603,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.055503934,0.017490482,0.055992965,0.042045218,0.170552021,0.211961052,0.052602136,0.046096092,0.017123382,0.217951502,0.007372859,0.021456703,0.001867205,0.000208563,0.001165432,0.00011149,0,0.002304904,0,0.000438559,0.002864214,0.008905573,0.010913387,0,0.000236195,0.00073781,0.002255323
SAMEA2152938,-0.162165257,0.065398014,0.193468866,Cluster 3,PRJEB4336,6.308475042,Denmark,Denmark,Denmark,Denmark_Cluster 3,0.003575925,0.020715452,0.061830916,0.033291641,0.024180038,0.127782155,0.214637838,0.060272567,0.012938055,0.0000902,0.069253643,0.01103345,0.013975175,0.0000173,0.001511176,0.089678053,0.000458369,0,0.004939434,0.0000821,0.00222057,0.015948953,0.000442545,0.007760053,0,0,0.001971032,0.000024
SAMEA2153005,-0.329834929,-0.196545882,-0.124393672,Cluster 3,PRJEB4336,4.810089822,Denmark,Denmark,Denmark,Denmark_Cluster 3,0.375524627,0.060112928,0.497665385,0.095736626,0.079534986,0.046960195,0.014098252,0.02363051,0.008525936,0.033314934,0.001598658,0.010458508,0.025226164,0.015971945,0.000403967,0.054199929,0.0001255,0,0.005046254,0.005863721,0.002174035,0.000969511,0.002049407,0.002565369,0,0.000229688,0.000258481,0.000727128
SAMEA2153010,0.233801184,0.053346131,-0.080289755,Cluster 2,PRJEB4336,5.239429406,Denmark,Denmark,Denmark,Denmark_Cluster 2,0,0.230955302,0.000206187,0.166978134,0.254433994,0.040676113,0.024286694,0.058898627,0.125191097,0.007093775,0.000588155,0.002923213,0.013205611,0,0.000704042,0.000250802,0,0,0.005128031,0.006454872,0.002973609,0,0.028206463,0.004124816,0,0.002710689,0.000099,0
SAMEA2153251,0.09274441,0.075949774,-0.074316216,Cluster 2,PRJEB4336,5.063244315,Denmark,Denmark,Denmark,Denmark_Cluster 2,0,0.255944699,0.000159774,0.011398743,0.181306409,0.098621662,0.040947696,0.037123207,0.017465542,0,0.005655875,0.008441069,0.037465825,0.1462617,0,0.000825176,0.000104362,0,0,0.045906802,0,0.009199627,0.011157443,0.004508626,0,0.000377741,0,0.036048153
SAMEA2153397,0.070745511,0.056425529,0.085084992,Cluster 1,PRJEB4336,6.233145241,Denmark,Denmark,Denmark,Denmark_Cluster 1,6.76E-05,0.159524906,0.0000676,0.137357729,0.129359787,0.158524023,0.052729746,0.052537244,0.101670153,0.023187063,0.007998775,0.016381834,0.000424353,0.003662537,0.00012691,0.055386262,0.0000275,0,0.008509111,0.01878392,0.001535362,0.004358708,0,0.005606206,0.016323044,0.000336541,0.000685867,0.001762616
SAMEA2153557,-0.12304561,-0.212465881,-0.193441237,Cluster 3,PRJEB4336,4.722229976,Denmark,Denmark,Denmark,Denmark_Cluster 3,0.311111859,0.196048328,0.325666235,0.027469364,0.135726287,0.060118466,0.032161246,0.050721749,0.014576674,0.021520582,0.002431084,0.004345772,0.003998056,0.033403454,0.0000739,0.002059282,0.000619755,0,0.004827478,0.029299573,0.0001312,0.004413534,0.027743026,0.000651443,0,0.000248528,0.002093037,0.000613561
SAMEA2153740,0.219970407,0.015908212,-0.059211954,Cluster 2,PRJEB4336,5.143490047,Denmark,Denmark,Denmark,Denmark_Cluster 2,0,0.342282346,0,0.080257999,0.109448224,0.070339413,0.077415614,0.059685032,0.017178944,0.009472198,0.007489894,0.002899368,0.077298727,0.028205363,0,0,0.000475462,0,0.014377029,0.011030875,0.000592373,0.003226087,0,0.017296458,0,0.001684367,0.000632915,0
SAMEA2153837,-0.143828077,0.079203374,0.118695958,Cluster 3,PRJEB4336,5.762483191,Denmark,Denmark,Denmark,Denmark_Cluster 3,0.025212308,0.001520381,0.098358942,0.061844792,0.088379845,0.163330286,0.270537,0.049783369,0.009592197,0.000483974,0.084723662,0.007410499,0.010762326,0.002377222,0.000154058,0.016596597,0,0.000815929,0.002538273,0.000515452,0,0.001710497,0.000579432,0.007345924,0,0.000831372,0,0.000168586
