	shannon
SAMEA2148905	5.307397914150522
SAMEA2149030	5.494339164159296
SAMEA2149068	4.425498890249212
SAMEA2149228	5.786000558337453
SAMEA2149241	5.953768250593607
SAMEA2149271	5.337284035240779
SAMEA2149318	5.91049934495331
SAMEA2149539	5.749784509265105
SAMEA2149557	5.9925429763062334
SAMEA2149568	5.552059339252074
SAMEA2149603	5.984331283697874
SAMEA2149627	4.460234073401797
SAMEA2149636	5.533518355998299
SAMEA2149794	4.659298443724069
SAMEA2149983	5.791197870742306
SAMEA2150168	5.322549342294629
SAMEA2150187	6.560939863829861
SAMEA2150234	5.937174334383985
SAMEA2150283	6.524688523669622
SAMEA2150447	6.226049475515657
SAMEA2150563	5.987778944233364
SAMEA2150726	6.6401642928573335
SAMEA2150814	6.450517270777427
SAMEA2150839	4.832876630487329
SAMEA2150866	6.057234146258297
SAMEA2150876	5.650401105730302
SAMEA2150909	5.394581813813124
SAMEA2151007	6.594500157809063
SAMEA2151010	5.398096705506191
SAMEA2151034	5.927565279218947
SAMEA2151035	5.848709730656919
SAMEA2151258	5.835128054527968
SAMEA2151383	5.8739772203919705
SAMEA2151391	6.3633992942232185
SAMEA2151439	5.589354968090609
SAMEA2151468	5.811897111964028
SAMEA2151606	5.9749471412442485
SAMEA2151633	4.5807074565556025
SAMEA2151677	6.774128100065431
SAMEA2151703	5.9987532765349005
SAMEA2151838	6.236061556473898
SAMEA2152063	4.617156416352028
SAMEA2152064	6.715170608959581
SAMEA2152065	7.249171236660223
SAMEA2152125	5.944032898875568
SAMEA2152204	5.135854363594519
SAMEA2152254	6.1646834571509395
SAMEA2152315	5.0822158781202775
SAMEA2152373	6.34390272019507
SAMEA2152443	6.530532126195354
SAMEA2152521	6.263101174569119
SAMEA2152531	5.842457182510448
SAMEA2152591	5.672741438725545
SAMEA2152602	6.771321011540428
SAMEA2152664	5.988834228100535
SAMEA2152768	5.1864468087429545
SAMEA2152904	6.228545603093242
SAMEA2152938	6.308475041975672
SAMEA2153005	4.810089822344817
SAMEA2153010	5.239429406485441
SAMEA2153251	5.0632443152562
SAMEA2153397	6.233145240639136
SAMEA2153557	4.722229976468791
SAMEA2153740	5.143490047250684
SAMEA2153837	5.7624831905984335
SAMEA2153852	6.6736239997976625
SAMEA2153887	5.705437916435143
SAMEA2153898	2.8399667012264294
SAMEA2154015	6.432278819102855
SAMEA2154036	4.985826988219589
SAMEA2154047	5.924167236547911
SAMEA2154082	3.9537001129800795
SAMEA2154150	5.417723136804513
SAMEA2154452	6.43095227662242
SAMEA2154516	4.373100130896476
SAMEA2154561	6.263729331122846
SAMEA2154620	6.971892995937268
SAMEA2154726	3.4472315904799715
SAMEA2154893	4.473112930242885
SAMEA2154920	4.54527942021948
SAMEA2154930	6.305573569365776
SAMEA2154992	6.279738007481998
SAMEA2155030	5.97261372156536
SAMEA2155055	6.623232039785044
SAMEA2155093	4.754876657477171
SAMEA2155132	5.038817175346713
SAMEA2155134	6.6621597425119345
SAMEA2155215	6.560188843527886
SAMEA2155255	6.899254062306635
SAMEA2155310	5.920934577718424
SAMEA2155373	6.338414501831289
SAMEA2155432	5.829919645399083
SAMEA2155512	6.166375350908522
SAMEA2155520	5.639566922650714
SAMEA2155636	5.886591853562084
SAMEA2155689	4.926871716041225
SAMEA2155745	6.029568348239826
SAMEA2155758	6.654389494582378
SAMEA2155902	6.087114811808925
SAMEA2155953	6.4657348041112765
SAMEA2156032	4.856991824239205
SAMEA2156186	5.926966706005876
SAMEA2156362	5.993412930893874
SAMEA2156486	6.952381673596717
SAMEA2156577	5.592794018041755
SAMEA2156675	5.976342505928001
SAMEA2156714	6.169964733056042
SAMEA2156850	6.576089141946618
SAMEA2156906	5.703222363210355
SAMEA2157028	6.351503113279634
SAMEA2157043	4.217534869549469
SAMEA2157192	5.613459385566965
SAMEA2157273	5.812016719882567
SAMEA2157747	6.601280683452834
SAMEA2157793	5.675578293713965
SAMEA2157850	5.899865423222382
SAMEA2157853	6.457299185658955
SAMEA2157909	4.024212948268853
SAMEA2157917	6.130359971121668
SAMEA2157972	6.9895346190629555
SAMEA2157977	6.250229763268265
SAMEA2158039	6.291508551450042
SAMEA2158062	6.364380199842313
SAMEA2158100	6.520654563769863
SAMEA2158190	6.018609926135004
SAMEA2158269	5.819896653373231
SAMEA2158408	4.13352390507479
SAMEA2158454	6.335607433888214
SAMEA2158468	6.7284986618010025
SAMEA2158480	4.545369594613127
SAMEA2158521	6.144425215454911
SAMEA2158542	6.664587636407423
SAMEA2158769	6.334227699633856
SAMEA2159032	6.3915204487256005
SAMEA2159102	6.214255671901433
SAMEA2159162	6.041831419237029
SAMEA2159202	5.516596911841336
SAMEA2159338	6.93883620650239
SAMEA2159408	6.487364567674446
SAMEA2159429	5.860341554269188
SAMEA2159529	5.7660596710937835
SAMEA2159541	5.868177263145777
SAMEA2159553	6.499639422179296
SAMEA2159561	4.111739232401771
SAMEA2159881	6.4057743339793305
SAMEA2159891	5.74330342674964
SAMEA2159974	6.186366208208608
SAMEA2160045	6.406057788400717
SAMEA2160152	5.518960590591501
SAMEA2160437	6.579966707674061
SAMEA2160490	6.273218340320282
SAMEA2160616	7.096409291098866
SAMEA2160621	6.299479083452426
SAMEA2160902	4.947173476753466
SAMEA2160998	6.204995739074759
SAMEA2161021	5.389467670627545
SAMEA2161216	5.407249717670305
SAMEA2161222	6.106527532495666
SAMEA2161309	5.209801675032384
SAMEA2161311	5.9670642896828765
SAMEA2161372	5.489406918981056
SAMEA2161597	6.193417618976587
SAMEA2161608	5.9424422437581645
SAMEA2161657	5.453819690090317
SAMEA2161876	6.3335315662982135
SAMEA2161897	4.750500298666312
SAMEA2162036	6.824540473357372
SAMEA2162138	6.1580898333247545
SAMEA2162182	6.145113429667785
SAMEA2162200	5.881093077191025
SAMEA2162231	5.963039448895124
SAMEA2162259	5.5927525325538285
SAMEA2162297	5.6802424006340635
SAMEA2162348	5.030677460238905
SAMEA2162460	5.345881793800749
SAMEA2162475	5.835821077897823
SAMEA2162530	6.188226209908035
SAMEA2162573	4.4882258468514875
SAMEA2162640	5.528575861130922
SAMEA2162811	5.742255701509936
SAMEA2162844	5.720088848683003
SAMEA2162862	6.214605047012976
SAMEA2162880	4.396621948397505
SAMEA2163052	6.453169195946774
SAMEA2163248	6.626640706119696
SAMEA2163271	4.74630800506203
SAMEA2163351	5.06609256131927
SAMEA2163432	6.255673070363284
SAMEA2163504	5.0266432211838055
SAMEA2163575	6.488366770938219
SAMEA2163583	6.597528545954495
SAMEA4545280	6.08202644204472
SAMEA4545281	6.2168756083719225
SAMEA4545282	6.393265986643238
SAMEA4545283	6.455080487425429
SAMEA4545284	6.243953606473454
SAMEA4545285	6.524078696305986
SAMEA4545286	6.234212042933315
SAMEA4545287	6.3660937250344105
SAMEA4545288	5.04653697420558
SAMEA4545289	5.852852432352501
SAMEA4545290	5.3522002681523535
SAMEA4545291	4.4144368840858546
SAMEA4545292	6.583941960017767
SAMEA4545293	6.209075835198425
SAMEA4545294	5.852741281873524
SAMEA4545295	6.6467949640327495
SAMEA4545296	1.6711202548413944
SAMEA4545297	4.7917221580242355
SAMEA4545298	5.022942819935001
SAMEA4545299	5.878417938273041
SAMEA4545300	6.39213809261161
SAMEA4545301	6.664630572968856
SAMEA4545302	6.448007833397975
SAMEA4545303	6.4769054779382245
SAMEA4545304	6.824165468623923
SAMEA4545305	6.714540836407123
SAMEA4545306	5.959600236466849
SAMEA4545307	5.62666495222414
SAMEA4545308	6.080405132858293
SAMEA4545309	5.379225235550232
SAMEA4545310	4.608918480481423
SAMEA4545311	6.174256495997981
SAMEA4545312	5.78392900028655
SAMEA4545313	4.013600336493134
SAMEA4545314	5.8209692567784606
SAMEA4545315	6.012267676746824
SAMEA4545316	5.4013707639254065
SAMEA4545317	5.083607734125974
SAMEA4545318	6.5327206639356055
SAMEA4545319	6.217329772783379
SAMEA4545320	5.3263793930691685
SAMEA4545321	5.770458956332657
SAMEA4545322	6.719083395154065
SAMEA4545323	5.9796805470419745
SAMEA4545324	5.420629331843697
SAMEA4545325	4.978004500888354
SAMEA4545326	6.189510488017404
SAMEA4545327	6.054302068329353
SAMEA4545328	6.314854861733251
SAMEA4545329	5.943560713848876
SAMEA4545330	6.95558275069438
SAMEA4545331	6.7958657865215235
SAMEA4545332	6.226393305089018
SAMEA4545333	6.8272632256438675
SAMEA4545334	6.683747604110927
SAMEA4545335	6.3124919260384385
SAMEA4545336	6.096046161502107
SAMEA4545337	5.365118945346933
SAMEA4545338	5.145817905418188
SAMEA4545339	5.639313244820196
SAMEA4545340	6.361279807895555
SAMEA4545341	5.758430620708116
SAMEA4545342	6.644624046892527
SAMEA4545343	6.406855961844815
SAMEA4545344	5.539925144128042
SAMEA4545345	5.154712113417961
SAMEA4545346	5.238137306410516
SAMEA4545347	2.9458246200903733
SAMEA4545348	5.6418506679702025
SAMEA4545349	4.875747206619906
SAMEA4545350	6.518707428153402
SAMEA4545351	6.466999111657809
SAMEA4545352	5.792443814909341
SAMEA4545353	6.76428908645965
SAMEA4545354	4.85517121419559
SAMEA4545355	3.862782754404348
SAMEA4545356	6.048253066026859
SAMEA4545357	6.413695862858702
SAMEA4545358	6.319083788800053
SAMEA4545359	5.917480324184069
SAMEA4545360	6.454406231305751
SAMEA4545361	5.636332431551099
SAMEA4545362	6.14073746450464
SAMEA4545363	6.475294871320318
SAMEA4545364	5.8826026766114845
SAMEA4545365	5.584166535158903
SAMEA4545366	6.450476080824341
SAMEA4545367	6.222617934155299
SAMEA4545368	6.269973619591109
SAMEA4545369	6.308758197305386
SAMEA4545370	4.447675314163599
SAMEA4545371	6.05493979169176
SAMEA4545372	5.774951069271037
SAMEA4545373	6.687861967418737
SAMEA4545374	5.588771514616613
SAMEA4545375	6.261220231845271
SAMEA4545376	6.009894524443795
SAMEA4545377	4.90426857640419
SAMEA4545378	5.809961859063806
SAMEA4545379	4.363756254137908
SAMEA4545380	6.758818787512602
SAMEA4545381	6.945560731527032
SAMEA4545382	4.878211437892197
SAMEA4545383	4.286686605542343
SAMEA4545384	5.041753169876861
SAMEA4545385	5.5541990286026
SAMEA4545386	6.174396764959653
SAMEA4545387	5.137865048742397
SAMEA4545388	4.203791473623437
SAMEA4545389	4.167643847869178
SAMEA4545390	5.250675441850252
SAMEA4545391	5.1336031859409275
SAMEA4545392	5.577314454552092
SAMEA4545393	5.523774281238952
SAMEA4545394	4.87096891298338
SAMEA4545395	5.739439299913787
SAMEA4545396	6.4337943372870114
SAMEA4545397	6.542399468112337
SAMEA4545398	5.743801286771825
SAMEA4545399	5.830042619373414
SAMEA4545400	5.858003114869673
SAMEA4545401	6.050002862612702
SAMEA4545402	5.0264814675031975
SAMEA4545403	5.889621971638927
SAMEA4545404	6.902379865107164
SAMEA4545405	6.581957083421662
SAMEA4545406	6.143751562405839
SAMEA4545407	5.569360277323436
SAMEA4545408	5.6200374118066385
SAMEA4545409	5.2059652617568135
SAMEA4545410	5.640803898180194
SAMEA4545411	5.376117702513161
SAMEA4545412	6.050720521706754
SAMEA4545413	6.162933610245405
SAMEA4545414	6.953100581699097
SAMEA4545415	6.004507461412062
SAMEA4545416	5.093475231757249
SAMEA4545417	5.142506921714721
SAMEA4545418	6.870503717288032
SAMEA4545419	6.608893986498071
SAMEA4545420	6.139931021635122
SAMEA4545421	5.974116971083332
SAMEA4545422	4.242078587856203
SAMEA4545423	6.582051645015834
SAMEA4545424	6.466385898247529
SAMEA4545425	6.312375453962229
SAMEA4545426	6.033913043422496
SAMEA4545427	6.771561077699393
SAMEA4545428	6.01936291574198
SAMEA4545429	6.383178568768198
SAMEA4545430	5.663144715820843
SAMEA4545431	6.719692949137334
SAMEA4545432	4.7157334770031465
SAMEA4545433	5.835884286297129
SAMEA4545434	7.066357861213428
SAMEA4545435	6.836053484570307
SAMEA4545436	5.924462848158593
SAMEA4545437	5.677069861434964
SAMEA4545438	5.700463892148929
SAMEA4545439	6.117311589399689
SAMEA4545440	6.164872420513597
SAMEA4545441	7.013515249257926
SAMEA4545442	6.588540763357205
SAMEA4545443	6.557364244584576
SAMEA4545444	6.857574040283639
SAMEA4545445	6.968991279830074
SAMEA4545446	5.418338810238364
SAMEA4545447	5.531378891506926
SAMEA4545448	6.092550270530165
SAMEA4545449	6.150034569255713
SAMEA4545450	6.202791781624713
SAMEA4545451	3.315562619451353
SAMEA4545452	5.786899341467884
SAMEA4545453	5.1460272324851575
SAMEA4545454	5.673315240923567
SAMEA4545455	5.384745673866328
SAMEA4545456	4.399555350027287
SAMEA4545457	3.4856990155752254
SAMEA4545458	4.96790518584718
SAMEA4545459	5.79401092576365
SAMEA4545460	5.368245494862661
SAMEA4545461	5.374767407781755
SAMEA4545462	5.434652914601948
SAMEA4545463	5.310240148509705
SAMEA4545464	6.408984964263381
SAMEA4545465	5.579953679774723
SAMEA4545466	5.574173287110355
SAMEA4545467	4.446289239334266
SAMEA4545468	4.924319146854016
SAMEA4545469	3.34118206636147
SAMEA4545470	4.125026512524476
SAMEA4545471	3.1647453325083195
SAMEA4545472	3.146177730389903
SAMEA4545473	3.8994371703193482
SAMEA4545474	3.7987170219690882
SAMEA4545475	4.562480221906142
SAMEA4545476	3.569175889076647
SAMEA4545477	5.81071214308245
SAMEA4545478	5.571350050870217
SAMEA4545479	4.930148368599565
SAMEA4545480	4.924669588217957
SAMEA4545481	4.932723964398791
SAMEA4545482	5.154311306990447
SAMEA4545483	4.8697793179274225
SAMEA4545484	4.585497451835964
SAMEA4545485	5.897688245860195
SAMEA4545486	5.459555866246349
SAMEA4545487	6.2022914426427365
SAMEA4545488	5.029438719416108
SAMEA4545489	5.957060927526638
SAMEA4545490	5.649046427039806
SAMEA4545491	6.075708115666964
SAMEA4545492	6.015345802213956
SAMEA4545493	5.593957903533864
SAMEA4545494	6.027021167394773
SAMEA4545495	5.7717305322965515
SAMEA4545496	5.276759379020246
SAMEA4545497	4.921806528076538
SAMEA4545498	4.819384419255144
SAMEA4545499	4.9704627504414844
SAMEA4545500	5.71455129151297
SAMEA4545501	5.915166541473168
SAMEA4545502	5.858746752945092
SAMEA4545503	5.836884970239813
SAMEA4545504	5.567005665889157
SAMEA4545505	3.955846131175278
SAMEA4545506	5.744305450047029
SAMEA4545507	6.0389863026420825
SAMEA4545508	6.702469969685084
SAMEA4545509	6.9199263075462
SAMEA4545510	6.878016154422576
SAMEA4545511	6.73019263593012
SAMEA4545512	6.773046013128174
SAMEA4545513	6.9388599804355575
SAMEA4545514	5.112536060949394
SAMEA4545515	6.526204664398889
SAMEA4545516	5.407092055004803
SAMEA4545517	6.263367272433175
SAMEA4545518	6.187141608253121
SAMEA4545519	6.2843888728780755
SAMEA4545520	5.2089798234557705
SAMEA4545521	6.567825671829516
SAMEA4545522	5.053763668827271
SAMEA4545523	5.784906301241297
SAMEA4545524	5.775836270917055
SAMEA4545525	5.6383360976330765
SAMEA4545526	5.449636187396742
SAMEA4545527	5.551412162268222
SAMEA4545528	5.759213924743305
SAMEA4545529	5.782219339126388
SAMEA4545530	5.937140641741672
SAMEA4545531	5.80589028554457
SAMEA4545532	5.7955097104840965
SAMEA4545533	5.925765462695117
SAMEA4545534	5.982247512111881
SAMEA4545535	5.93062623203143
SAMEA4545536	5.913982213272325
SAMEA4545537	6.768341720035298
SAMEA4545538	6.484202452000139
SAMEA4545539	4.040774832262854
SAMEA4545540	5.8322089884819865
SAMEA4545541	4.044476157213419
SAMEA4545542	5.607621735670367
SAMEA4545543	5.1865662753229085
SAMEA4545544	5.074598584180748
SAMEA4545545	4.755316704770509
SAMEA4545546	5.9971325741883055
SAMEA4545547	5.803086858634477
SAMEA4545548	5.659379606443654
SAMEA4545549	5.269953076345642
SAMEA4545550	5.767355270066581
SAMEA4545551	5.225890172601714
SAMEA4545552	5.375307550699197
SAMEA4545553	5.8063133540005945
SAMEA4545554	6.242644875724767
SAMEA4545555	5.872333986291317
SAMEA4545556	5.949021574027256
SAMEA4545557	4.805694253419333
SAMEA4545558	5.639797490997911
SAMEA4545559	6.152562670262606
SAMEA4545560	5.56175931893832
SAMEA4545561	5.396697474759368
SAMEA4545562	5.665613232376003
SAMN00034067	5.42643014153576
SAMN00034187	4.874507465934625
SAMN00034316	5.154146210406722
SAMN00034856	4.953848289678759
SAMN00034857	5.33352520176533
SAMN00037599	4.209614133779455
SAMN00037655	3.129853798883636
SAMN00037656	2.7591606990521593
SAMN00037847	4.764788626754733
SAMN00038058	4.5939909993928065
SAMN00038115	4.333206673120612
SAMN00038466	3.353387641491454
SAMN00038593	3.5181572085300994
SAMN00038840	4.163856784132699
SAMN00038963	3.7752064292874294
SAMN00039077	3.3199518534007817
SAMN00039134	4.730841896841357
SAMN00039267	2.2459613444703947
SAMN00041489	4.549395349351894
SAMN00041612	5.578473615269021
SAMN00041726	3.653756993722752
SAMN00041840	3.155225640251983
SAMN00042371	2.988752264637843
SAMN00042437	3.4791027024865397
SAMN00044933	5.372972856626759
SAMN00045294	4.744168194935506
SAMN00045710	4.996761003980505
SAMN00045881	3.974914836827857
SAMN00062609	4.422495746223574
SAMN00062975	5.401354045156589
SAMN00063676	2.9278056908155596
SAMN00064982	5.176150106753776
SAMN00065537	4.781795909967974
SAMN00065748	3.553880217106887
SAMN00065945	5.262002853539039
SAMN00065947	3.3267605953316455
SAMN00066378	5.275966678225043
SAMN00068663	5.539309746618476
SAMN00068990	3.7479390388191116
SAMN00069411	4.839772707374736
SAMN00069905	4.303745410618695
SAMN00070035	3.814252720768657
SAMN00070529	3.725092174711304
SAMN00070810	4.552355086718021
SAMN00072087	3.661393230264655
SAMN00073096	5.415218161347508
SAMN00073299	5.041031435564551
SAMN00073365	5.033487703781665
SAMN00073582	3.0890653054411885
SAMN00073658	4.711521175900227
SAMN00074068	5.547211825324706
SAMN00074361	4.75113350725575
SAMN00074762	4.8407956245542705
SAMN00074878	4.153085004734211
SAMN00075542	2.440818617909394
SAMN00076282	5.259010969210603
SAMN00077489	5.0763370831830095
SAMN00078079	5.226242108302258
SAMN00078154	4.517085981071016
SAMN00078277	2.323160445575946
SAMN00081725	4.481386380733954
SAMN00081740	2.198549937661362
SAMN00082214	5.445160660214624
SAMN00082513	2.5614162893919574
SAMN00082542	4.718959433718492
SAMN00082837	5.4100903356793495
SAMN00082952	3.323431759710218
SAMN00083686	4.834513788670108
SAMN00083997	1.8344197758921448
SAMN00084200	4.4320888265983855
SAMN00084753	5.670778574704567
SAMN00084837	3.4660951563758187
SAMN00085131	3.525952275240107
SAMN00085188	3.943403819686248
SAMN00085245	5.334380300928018
SAMN00085508	4.860415836014401
SAMN00085566	2.3566477594202118
SAMN00085940	6.370419593800619
SAMN00086045	5.1819500519466315
SAMN00086151	5.2508748243834695
SAMN00087043	2.4273252025789773
SAMN00087294	4.4945628032787255
SAMN00087398	5.220450756051196
SAMN00087559	5.94377448783278
SAMN00087621	4.884926339186714
SAMN00087756	3.9077548781124523
SAMN00087808	3.111297502977768
SAMN00087920	3.803778186704215
SAMN00088016	5.419011416904468
SAMN00088158	2.525784957263142
SAMN00088344	4.446065307642322
SAMN00088409	5.372035149090884
SAMN00088586	5.10981085823872
SAMN00088832	3.3583835459002827
SAMN00094441	5.539500840748584
SAMN00094479	4.606655296562667
SAMN00094582	5.0506561969815245
SAMN00095176	4.930866272423514
SAMN00096542	3.7085003709559103
SAMN00097428	5.588078727592746
SAMN00097789	3.332655626567575
SAMN00097897	5.224296727742206
SAMN00139709	5.580561811174547
SAMN00139730	4.654287082621759
SAMN00139862	2.252685068450627
SAMN00141759	4.997403803321717
SAMN00142365	5.244727371252184
SAMN00142589	4.984194137734725
SAMN00142939	3.884307665226484
SAMN00143514	3.2992565531898133
SAMN00143931	4.614324135054576
SAMN00143970	6.283445027155724
SAMN00144525	2.7483315827373347
SAMN00144714	4.383810099767862
SAMN00146256	4.368739166110068
SAMN00148001	5.567471459173043
SAMN00148034	4.891376487239997
SAMN00148292	5.159459144031497
SAMN00148398	5.441424157366277
SRR10692028	6.18839697149694
SRR10692029	6.672076523817859
SRR10692030	6.475125824220157
SRR10692031	4.561727712891743
SRR10692032	4.583285519848992
SRR10692033	6.124596403923074
SRR10692034	5.9188948617188775
SRR10692035	6.177869861499854
SRR10692036	4.771332053231224
SRR10692037	6.702198835578804
SRR10692039	6.362541989086445
SRR10692040	6.369103763266186
SRR10692041	4.186342748960647
SRR10692042	4.833874978226169
SRR10692043	6.400365404140517
SRR10692044	6.020453359830124
SRR10692045	5.3453794814158995
SRR10692046	4.182880739674741
SRR10692047	6.089698177590353
SRR10692048	5.940730085922556
SRR10692050	4.712808784309015
SRR10692051	6.465100255399069
SRR10692052	5.311799484789819
SRR10692053	5.048296367723248
