#SampleID	BarcodeSequence	LinkerPrimerSequence	DMM_L6	Dataset	Ethnicity	Category	Description
SAMN00045881	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00062609	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00062975	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00063676	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00064982	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00065537	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00065748	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00065945	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00065947	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00066378	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00068663	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00068990	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00069411	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00069905	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 3	NA
SAMN00070035	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00070529	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00070810	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00072087	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00073096	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00073299	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00073365	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 3	NA
SAMN00073582	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00073658	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00074068	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00074361	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00074762	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00074878	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 3	NA
SAMN00075542	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00076282	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00077489	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00078079	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00078154	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00078277	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00081725	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00081740	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00082214	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00082513	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00082542	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00082837	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00082952	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00083686	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00083997	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00084200	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00084753	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 1	NA
SAMN00084837	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00085131	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00085188	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00085245	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00085508	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00085566	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00085940	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00086045	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00086151	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00087043	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00087294	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00087398	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00087559	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 1	NA
SAMN00087621	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00087756	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00087808	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 3	NA
SAMN00087920	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00088016	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00088158	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00088344	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 3	NA
SAMN00088409	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00088586	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 3	NA
SAMN00088832	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00094441	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00094479	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00094582	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00095176	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00096542	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00097428	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00097789	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00097897	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00139709	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00139730	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00139862	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00141759	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00142365	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00142589	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00142939	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00143514	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00143931	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 3	NA
SAMN00143970	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00144525	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00144714	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00146256	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00148001	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00148034	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00148292	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SAMN00148398	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA48479	USA (HMP)	USA (HMP)_Cluster 2	NA
SRR9097995	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9097996	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9097998	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9097999	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Han Chinese	Han Chinese_Cluster 3	NA
SRR9098000	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9098001	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9098002	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9098015	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9098016	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9098017	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9098018	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9098019	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA543906	Han Chinese	Han Chinese_Cluster 2	NA
SRR9097997	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098003	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA543906	Tibetan	Tibetan_Cluster 1	NA
SRR9098004	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098005	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098006	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098007	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098008	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098009	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098010	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098011	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098012	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098013	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098014	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098020	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR9098021	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA543906	Tibetan	Tibetan_Cluster 3	NA
SRR10692028	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692029	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692030	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692031	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692032	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692033	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692034	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692035	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692036	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692037	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692039	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692040	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692041	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692042	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692043	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692044	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692045	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692046	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692047	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692048	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692050	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692051	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692052	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692053	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692054	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692055	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692056	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692057	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692058	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692059	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692061	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692062	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692170	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692171	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692172	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA588513	Tibetan	Tibetan_Cluster 3	NA
SRR10692173	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692174	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692175	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692176	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692177	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692178	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692180	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692181	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692182	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA588513	Tibetan	Tibetan_Cluster 2	NA
SRR10692183	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692184	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692185	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692186	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692187	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692188	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692189	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692192	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692193	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692194	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692195	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692196	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692197	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692198	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692199	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692200	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692201	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692203	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692204	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692205	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692206	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692267	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692268	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692269	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692270	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692271	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692273	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692274	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692275	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692276	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692277	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692278	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692279	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692280	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692281	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692282	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692285	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692286	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692287	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692288	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692289	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692290	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692291	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692292	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692293	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692294	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692296	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692297	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA588513	Tibetan	Tibetan_Cluster 2	NA
SRR10692298	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692299	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692300	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692301	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692302	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692373	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
